property	pre	post	verdict
identity.id	mii-ig-meta	mii-ig-meta	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/modul-meta	https://www.medizininformatik-initiative.de/fhir/modul-meta	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.meta	de.medizininformatikinitiative.kerndatensatz.meta	unchanged
identity.name	MII_IG_Meta	MII_IG_Meta	unchanged
identity.version	2026.0.0	2027.0.0-ballot.rc1	REGRESSION
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	CC-BY-4.0	CC-BY-4.0	unchanged
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative	NUM-DIZ	expected-change
identity.status	active	active	unchanged
identity.title	MII IG Meta	MII IG Meta	unchanged
licence.contradictory	true	true	unchanged
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	true	true	unchanged
mode	static	static	unchanged
artifacts.profiles	1	1	unchanged
artifacts.extensions	1	1	unchanged
artifacts.valuesets	0	0	unchanged
artifacts.codesystems	1	1	unchanged
artifacts.logicals	0	0	unchanged
artifacts.capabilitystatements	0	1	expected-change
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	167	167	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	5	5	unchanged
artifacts.rulesets	21	64	expected-change
artifacts.invariants	1	1	unchanged
artifacts.mappings	0	0	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	175	176	expected-change
narrative.pages	11	29	expected-change
narrative.intro_note_pages	0	3	expected-change
narrative.translation_pages	0	18	expected-change
directives.total	48	48	unchanged
