id	layer	check	verdict	subject	evidence	autofix	action
C1-e94aa9	conservation	C1	IDENTISCH	175 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-804685	conservation	C2	IDENTISCH	output/de (176 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-cc0845	conservation	C2	IDENTISCH	output/en (176 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C3-2e311d	conservation	C3	IDENTISCH	index.md	retired: obsolete starter stub superseded by the authoritative guide index	-	-
C3-9d4345	conservation	C3	IDENTISCH	MII-IG-Meta/Index.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-8222ee	conservation	C3	IDENTISCH	Release-notes.page.md	migrated -> input/pagecontent/changes.md (input/pagecontent/changes.md)	-	-
C3-15c7fa	conservation	C3	IDENTISCH	CodeSystem-MII-Standorte.page.md	migrated -> input/intro-notes/CodeSystem-mii-cs-meta-diz-standorte-intro.md (input/intro-notes/CodeSystem-mii-cs-meta-diz-standorte-intro.md)	-	-
C3-414101	conservation	C3	IDENTISCH	Extension-Lizenzbedingungen.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-meta-license-codeable-intro.md (input/intro-notes/StructureDefinition-mii-ex-meta-license-codeable-intro.md)	-	-
C3-c1cd9c	conservation	C3	IDENTISCH	Technische-Implementierung/Index.page.md	retired: directive-only folder index with no narrative; target navigation replaces it	-	-
C3-049814	conservation	C3	IDENTISCH	Liste-Kerndatensatz-Suchparameter/Index.page.md	retired: standalone generated list superseded by the IG Publisher Artifacts Summary SearchParameter section	-	-
C3-4c70f1	conservation	C3	IDENTISCH	Profil-SearchParameter.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-meta-searchparameter-intro.md (input/intro-notes/StructureDefinition-mii-pr-meta-searchparameter-intro.md)	-	-
C4-3792cf	conservation	C4	DIVERGIERT	CodeSystem-MII-Standorte.page.md	1 of 1 PROSE runs of the source page are in no target page (first: from CodeSystem where url = ' select Name:)	-	map the missing text to a target page section, or record the loss in the report's content map
C4-5e068d	conservation	C4	NICHT PRUEFBAR	Extension-Lizenzbedingungen.page.md	the source page embeds an element-tree rendering (5 occurrences of the renderer's marker); 2 of 2 runs are in no target page, but prose and rendered view cannot be told apart in it	-	read the page against its target: migration replaces the VIEW with the artefact page (R1), so only its prose has to be conserved -- and only a human can say which is which here
C4-767a0b	conservation	C4	DIVERGIERT	Liste-Kerndatensatz-Suchparameter/Index.page.md	3 of 3 PROSE runs of the source page are in no target page (first: Auf dieser Seite sind alle im Kerndatensatz definierten Such…)	-	map the missing text to a target page section, or record the loss in the report's content map
C4-9d5552	conservation	C4	DIVERGIERT	MII-IG-Meta/Index.page.md	4 of 14 PROSE runs of the source page are in no target page (first: Dieser Leitfaden ist im Rahmen der Medizininformatik-Initati…); 6 generated table row(s) excluded -- migration replaces that view with the artefact page (R1 checks THAT)	-	map the missing text to a target page section, or record the loss in the report's content map
